Option No.,Districts
1,Agra
2,Aligarh
3,Allahabad
4,Ambedkar Nagar
5,Amethi 
6,Amroha (J.P. Nagar)
7,Auraiya
8,Azamgarh
9,Baghpat
10,Bahraich
11,Ballia
12,Balrampur
13,Banda
14,Barabanki
15,Bareilly
16,Basti
17,Bhadohi
18,Bijnor
19,Budaun
20,Bulandshahr
21,Chandauli
22,Chitrakoot
23,Deoria
24,Etah
25,Etawah
26,Faizabad
27,Farrukhabad
28,Fatehpur
29,Firozabad
30,Gautam Buddha Nagar
31,Ghaziabad
32,Ghazipur
33,Gonda
34,Gorakhpur
35,Hamirpur
36,Hapur
37,Hardoi
38,Hathras
39,Jalaun
40,Jaunpur
41,Jhansi
42,Kannauj
43,Kanpur Dehat
44,Kanpur Nagar
45,Kanshiram Nagar (Kasganj)
46,Kaushambi
47,Kushinagar (Padrauna)
48,Lakhimpur - Kheri
49,Lalitpur
50,Lucknow
51,Maharajganj
52,Mahoba
53,Mainpuri
54,Mathura
55,Mau
56,Meerut
57,Mirzapur
58,Moradabad
59,Muzaffarnagar
60,Pilibhit
61,Pratapgarh
62,RaeBareli
63,Rampur
64,Saharanpur
65,Sambhal (Bhim Nagar)
66,Sant Kabir Nagar
67,Shahjahanpur
68,Shamali
69,Shravasti
70,Siddharth Nagar
71,Sitapur
72,Sonbhadra
73,Sultanpur
74,Unnao
75,Varanasi
