Option No.,Districts
1,Araria
2,Arwal
3,Aurangabad
4,Banka
5,Begusarai
6,Bhagalpur
7,Bhojpur
8,Buxar
9,Darbhanga
10,East Champaran(Motihari)
11,Gaya
12,Gopalganj
13,Jamui
14,Jehanabad
15,Kaimur
16,Katihar
17,Khagaria
18,Kishanganj
19,Lakhisarai
20,Madhepura
21,Madhubani
22,Munger
23,Muzaffarpur
24,Nalanda
25,Nawada
26,Patna
27,Purnia
28,Rohtas
29,Saharsa
30,Samastipur
31,Saran
32,Sheikhpura
33,Sheohar
34,Sitamarhi
35,Siwan
36,Supaul
37,Vaishali
38,West Champaran
