Option No.,Districts
1,Ariyalur
2,Chengalpattu
3,Chennai
4,Coimbatore
5,Cuddalore
6,Dharmapuri
7,Dindigul
8,Erode
9,KallaKurichi
10,Kanchipuram
11,Kanyakumari
12,Karur
13,Krishnagiri
14,Madurai
15,Nagapattinam
16,Namakkal
17,Nilgiris
18,Perambalur
19,Pudukkottai
20,Ramanathapuram
21,Ranipet
22,Salem
23,Sivaganga
24,Tenkasi
25,Thanjavur
26,Theni
27,Thoothukudi
28,Tiruchirappalli
29,Tirunelveli
30,Tirupathur
31,Tiruppur
32,Tiruvallur
33,Tiruvannamalai
34,Tiruvarur
35,Vellore
36,Viluppuram
37,Virudhunagar
