Option No.,Districts
1,Agar Malwa
2,Alirajpur
3,Anuppur
4,Ashoknagar
5,Balaghat
6,Barwani
7,Betul
8,Bhind
9,Bhopal
10,Burhanpur
11,Chhatarpur
12,Chhindwara
13,Damoh
14,Datia
15,Dewas
16,Dhar
17,Dindori
18,Guna
19,Gwalior
20,Harda
21,Hoshangabad
22,Indore
23,Jabalpur
24,Jhabua
25,Katni
26,Khandwa
27,Khargone
28,Mandla
29,Mandsaur
30,Morena
31,Narsinghpur
32,Neemuch
33,Panna
34,Raisen
35,Rajgarh
36,Ratlam
37,Rewa
38,Sagar
39,Satna
40,Sehore
41,Seoni
42,Shahdol
43,Shajapur
44,Sheopur
45,Shivpuri
46,Sidhi
47,Singrauli
48,Tikamgarh
49,Ujjain
50,Umaria
51,Vidisha
