Option No.,Districts
1,Adilabad
2,Bhadradi Kothagudem
3,Hyderabad
4,Jagtial
5,Jangaon
6,Jayashankar Bhoopalpally
7,Jogulamba Gadwal
8,Kamareddy
9,Karimnagar
10,Khammam
11,Komaram Bheem Asifabad
12,Mahabubabad
13,Mahabubnagar
14,Mancherial
15,Medak
16,Medchal
17,Nagarkurnool
18,Nalgonda
19,Nirmal
20,Nizamabad
21,Peddapalli
22,Rajanna Sircilla
23,Rangareddy
24,Sangareddy
25,Siddipet
26,Suryapet
27,Vikarabad
28,Wanaparthy
29,Warangal(Rural)
30,Warangal(Urban)
31,Yadadri Bhuvanagiri
